 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
4829,1880 Bank,DELMARVA BANCSHARES INC,369646,47694,43728,1893,2033,0,0,0,0,0,0,0,-0.290416263310745,,-0.290416263310745,0,246759,224034,2894,18994,2480,250,1.37099239097212,2.81319009569327,0,0.340666719330121,0.166865315852205,0.356366141986607,0,0,,0,0,13.3114823144441,NA,20.5288784956915,4.21021537606102,63.7064124330678,0.530349230297412,-2.38658737893041E-03
57899,1st Advantage Bank,BANC INVESTORS LLC,107696,8109,7074,882,340,-0.332299512627382,0,0,1.26862369080985,0,1.3764404609475,0,0,,0,,91548,74698,0,16955,47,730,2.70474954019258E-02,0,0,0.186915887850467,0,0.20493483072383,0,0,,0,,10.4927547120198,NA,13.0864760415988,4.91224629865673,78.2295419454452,0.207872161686524,0.163893181899867
22039,1st Bank,1ST UNITED BCORP INC,47352,23988,22284,1038,604,,0,,0,,0,-3.86958079541383,0,,0,,21693,6558,12894,2597,674,7,0,0,,0,,0,0,0,,0,,14.7690881510197,NA,32.6634740187083,4.56164114215804,42.3664122137405,0.374511283352768,-0.506400337600225
16419,1st Bank & Trust,SOUTHEASTERN BANCSHARES INC,159300,9078,1059,1150,2293,0,0,,0,0,0,0.931134820562561,0.112899490504863,,0.112899490504863,,91417,59313,2700,5517,23937,1113,5.61670321124205E-02,0,,0.165737051792829,0,0.167461033105758,0,0,,0,,11.0625918819924,NA,22.2097661136154,5.36901467652107,43.633727953612,0.950164206230271,8.02457979396349E-02
4122,1st Bank in Hominy,,40617,10814,9858,225,180,0,0,,-0.402684563758389,,-0.402684563758389,-7.30015817009369E-02,0.301179620179035,,0.301179620179035,,18810,7233,2014,5616,4063,109,1.25032834252692,0,,0.867789688616641,,0.867789688616641,2.92022792022792,0.98449421609648,,0.98449421609648,,8.98842999777023,NA,23.1694055099082,4.42573870785786,75.0889679715303,0.600382061311744,-4.26181766523422E-02
30367,1st Bank of Sea Isle City,SEA ISLE FINANCIAL CORP MHC,254343,42527,38190,1230,631,0,0,0,0,0,0,0,0,,0,,172724,173316,0,200,486,0,1.06033263985471,6.22000738279808,0,0.382487167055311,0,0.414934295112625,0,0,,0,,10.8334081064987,NA,19.401588875082,4.24290250840748,82.2292993630573,0.165441623706812,0
57298,1st Bank Yuma,WESTERN ARIZONA BCORP INC,368022,85599,72232,2372,2604,0,0,0,-1.24719381391868E-02,-3.85010266940452E-02,0,0.121289713958425,0,,0,,240390,198568,2232,36613,1172,5214,0,0,0,0,0,0,0,0,,0,,9.38790093200729,NA,13.2887633488701,5.30203636829847,62.2309405153218,0.823503334956207,9.41878578165859E-02
32487,1st Cameron State Bank,C&M BANCSHARES INC,55964,18416,17517,250,128,0,0,,0,0,0,0,-0.240577385725742,,-0.240577385725742,,24084,21692,321,1411,906,4,0.813676337634585,0,,1.17159763313609,0,1.18968935888962,0,0,,0,,9.60961497249804,NA,26.512547671736,3.29167151937918,81.5489749430524,0.152838169259387,-8.15150938782164E-03
58485,1st Capital Bank,,630790,62051,50576,6572,3414,0,0,0,0,0,0,-0.119561607439389,0,,0,0,475104,427607,9304,39596,52,5117,0,0,0,0,0,0,0,0,,0,0,10.3954450497686,NA,15.3718967803958,4.25785779881086,64.6517639902676,0.318515712541159,-9.91509511261551E-03
