ntrecosr,  Percent Net Loans Charged-off:Construction & development  
ntrenrsr,  Percent Net Loans Charged-off: Commercial real estate  
ntremulr,  Percent Net Loans Charged-off: Multi-family residential  
ntreresr,  Percent Net Loans Charged-off: 1-4 family residential  
ntrelocr,  Percent Net Loans Charged-off: Home equity loans  
ntreothr,  All other 1-4 family - Percent of loans charged-off
idntcir,  Percent Net Loans Charged-off: Commercial and industrial  
idntconr,  Percent Net Loans Charged-off: Loans to individuals  
idntcrdr,  Percent Net Loans Charged-off: Credit card loans  
idntcoor,  Percent Net Loans Charged-off: Other loans to individuals
ntcomrer,  Percent Net Loans Charged-off:Coml. RE not secured by RE
